N,Mean Time,Lower CI,Upper CI
1000,4.861168632308642,4.856985234720474,4.86535202989681
2000,18.79417501337826,18.762949723812763,18.82540030294376
3000,43.52902704027792,43.5062839596536,43.55177012090223
4000,76.30281162939966,76.14558632993189,76.46003692886742
5000,115.59990082425375,115.57410757201455,115.62569407649295
6000,173.2564174360037,173.01278175785507,173.5000531141523
7000,232.9357628855109,232.26937761244636,233.60214815857546
8000,294.83238013774155,294.7153634455639,294.9493968299192
